Player,Pos,G,GS,MP,FG,FG%,3P,3P%,2P,2P%,eFG%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,BPM
Taurean Prince,SF,64,61,29.0,4.3,0.376,2.3,0.33899999999999997,2.1,0.429,0.475,1.1,0.7979999999999999,0.8,5.2,6.0,1.8,0.9,0.4,2.0,2.5,12.1,-2.9
Derrick Walton,PG,26,1,9.5,0.7,0.462,0.4,0.41700000000000004,0.3,0.5329999999999999,0.59,0.3,0.778,0.1,0.5,0.6,1.0,0.3,0.0,0.2,0.8,2.0,-1.0
Brad Wanamaker,PG,71,1,19.3,2.3,0.44799999999999995,0.5,0.363,1.8,0.48100000000000004,0.499,1.8,0.9259999999999999,0.3,1.7,2.0,2.5,0.9,0.2,1.1,1.9,6.9,-0.6
T.J. Warren,SF,67,67,32.9,8.0,0.536,1.4,0.40299999999999997,6.6,0.575,0.581,2.5,0.8190000000000001,1.0,3.2,4.2,1.5,1.2,0.5,1.3,2.8,19.8,1.1
P.J. Washington,PF,58,57,30.3,4.6,0.455,1.5,0.374,3.1,0.507,0.528,1.5,0.647,1.0,4.4,5.4,2.1,0.9,0.8,1.6,2.7,12.2,-1.6
Yuta Watanabe,SG,18,0,5.8,0.8,0.441,0.2,0.375,0.7,0.462,0.485,0.2,0.375,0.4,0.7,1.1,0.3,0.3,0.1,0.1,0.5,2.0,-1.8
Tremont Waters,PG,11,1,10.8,1.3,0.28600000000000003,0.4,0.16699999999999998,0.9,0.4,0.327,0.7,1.0,0.0,1.1,1.1,1.5,0.9,0.2,1.4,1.2,3.6,-7.5
Paul Watson,SF-SG,10,0,8.7,1.0,0.385,0.4,0.33299999999999996,0.6,0.429,0.462,0.7,0.778,0.2,1.5,1.7,0.8,0.4,0.1,0.3,0.5,3.1,-0.4
Quinndary Weatherspoon,SG,11,0,7.1,0.5,0.294,0.1,0.2,0.4,0.33299999999999996,0.324,0.1,0.5,0.1,0.5,0.6,1.0,0.3,0.1,0.5,0.7,1.1,-7.4
Russell Westbrook,PG,57,57,35.9,10.6,0.47200000000000003,1.0,0.258,9.6,0.514,0.493,5.1,0.763,1.8,6.2,7.9,7.0,1.6,0.4,4.5,3.5,27.2,1.5
Coby White,SG,65,1,25.8,4.8,0.39399999999999996,2.0,0.354,2.8,0.43,0.478,1.6,0.7909999999999999,0.4,3.1,3.5,2.7,0.8,0.1,1.7,1.8,13.2,-2.8
Derrick White,SG,68,20,24.7,3.7,0.45799999999999996,1.2,0.366,2.6,0.518,0.53,2.6,0.853,0.5,2.8,3.3,3.5,0.6,0.9,1.3,2.2,11.3,1.3
Hassan Whiteside,C,67,61,30.0,6.5,0.621,0.1,0.5710000000000001,6.4,0.622,0.624,2.4,0.6859999999999999,3.9,9.7,13.5,1.2,0.4,2.9,1.8,2.9,15.5,3.2
Andrew Wiggins,SF-SG,54,54,34.4,8.1,0.447,2.1,0.332,6.0,0.506,0.504,3.5,0.7090000000000001,1.2,3.9,5.1,3.7,0.8,1.0,2.4,2.4,21.8,-0.3
Grant Williams,PF,69,5,15.1,1.3,0.41200000000000003,0.3,0.25,0.9,0.5479999999999999,0.469,0.6,0.722,0.9,1.7,2.6,1.0,0.4,0.5,0.7,2.4,3.4,-2.7
Johnathan Williams,C,15,6,12.0,1.3,0.5589999999999999,0.0,0.0,1.3,0.594,0.5589999999999999,0.5,0.5379999999999999,1.6,2.7,4.3,0.5,0.1,0.5,0.3,1.1,3.0,-2.2
Kenrich Williams,PF,39,18,21.3,1.3,0.34700000000000003,0.6,0.258,0.7,0.52,0.43200000000000005,0.2,0.34600000000000003,1.3,3.5,4.8,1.5,0.7,0.5,0.6,2.3,3.5,-2.4
Lou Williams,SG,65,8,28.7,6.0,0.418,1.7,0.35200000000000004,4.3,0.451,0.47700000000000004,4.5,0.861,0.5,2.6,3.1,5.6,0.7,0.2,2.8,1.2,18.2,0.8
Marvin Williams,PF,58,1,19.5,2.1,0.446,1.0,0.359,1.1,0.568,0.551,0.8,0.86,0.5,2.6,3.2,1.0,0.6,0.5,0.6,1.8,5.9,-0.6
Robert Williams,C,29,1,13.4,2.2,0.727,0.0,,2.2,0.727,0.727,0.8,0.647,1.4,3.0,4.4,0.9,0.8,1.2,0.7,1.8,5.2,5.1
Nigel Williams-Goss,PG,10,0,5.0,0.5,0.313,0.2,0.28600000000000003,0.3,0.33299999999999996,0.375,0.2,1.0,0.2,0.4,0.6,0.6,0.3,0.1,0.3,0.6,1.4,-3.9
Zion Williamson,PF,24,24,27.8,8.8,0.583,0.3,0.429,8.5,0.59,0.5920000000000001,4.8,0.64,2.7,3.6,6.3,2.1,0.7,0.4,2.5,1.8,22.5,2.1
D.J. Wilson,PF,37,1,9.8,1.4,0.39399999999999996,0.5,0.247,0.9,0.5760000000000001,0.462,0.3,0.611,0.3,2.2,2.5,0.7,0.1,0.1,0.5,0.9,3.6,-4.0
Justise Winslow,SF,11,5,32.0,4.5,0.38799999999999996,0.5,0.222,4.0,0.431,0.41100000000000003,1.6,0.667,1.5,5.2,6.6,4.0,0.6,0.5,2.2,3.5,11.3,-3.5
Christian Wood,PF,62,12,21.4,4.6,0.5670000000000001,0.9,0.386,3.8,0.636,0.62,2.9,0.7440000000000001,1.7,4.6,6.3,1.0,0.5,0.9,1.4,1.6,13.1,3.1
Delon Wright,SG,73,5,21.5,2.6,0.462,0.6,0.37,2.0,0.504,0.519,1.1,0.77,1.0,2.9,3.8,3.3,1.2,0.3,1.0,1.3,6.9,1.9
Justin Wright-Foreman,PG,4,0,11.3,1.8,0.35,0.5,0.2,1.3,0.5,0.4,0.8,0.75,0.0,1.3,1.3,1.8,0.5,0.0,0.8,1.3,4.8,-9.0
Thaddeus Young,PF,64,16,24.9,4.2,0.44799999999999995,1.2,0.35600000000000004,3.0,0.501,0.513,0.7,0.583,1.5,3.5,4.9,1.8,1.4,0.4,1.6,2.1,10.3,-1.2
Trae Young,PG,60,60,35.3,9.1,0.43700000000000006,3.4,0.361,5.7,0.501,0.519,8.0,0.86,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6,3.9
Cody Zeller,C,58,39,23.1,4.3,0.524,0.3,0.24,4.0,0.5770000000000001,0.5429999999999999,2.1,0.682,2.8,4.3,7.1,1.5,0.7,0.4,1.3,2.4,11.1,-0.6
Tyler Zeller,C,2,0,2.0,0.5,0.25,0.0,,0.5,0.25,0.25,0.0,,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-22.4
Ante Žižić,C,22,0,10.0,1.9,0.569,0.0,,1.9,0.569,0.569,0.6,0.737,0.8,2.2,3.0,0.3,0.3,0.2,0.5,1.2,4.4,-3.2
Ivica Zubac,C,72,70,18.4,3.3,0.613,0.0,0.0,3.3,0.616,0.613,1.7,0.747,2.7,4.8,7.5,1.1,0.2,0.9,0.8,2.3,8.3,2.8
